config,dataset,freq,period,n_series,rank1_median,rank1_mean,rank1_p10,rank1_p90,relMASE,level_acf1_median,level_acf1_mean,level_acf1_p10,level_acf1_p90
m4_hourly/H/short,m4_hourly,H,24,414,0.9978799769833552,0.9854967469237916,0.9630762303780048,0.999810474454806,1.6224392147428297,0.6766196464117606,0.5519239557694787,-0.10811863976555654,0.9337842445354144
m4_monthly/M/short,m4_monthly,M,12,47981,0.9968498938530286,0.9856145571428436,0.963223643570748,0.9998790097374888,0.936875475591592,0.722388526102104,0.5992301453331028,0.1623554494845891,0.8936515558689703
m4_quarterly/Q/short,m4_quarterly,Q,4,23998,0.998496117497882,0.991819251305755,0.9810150658490172,0.9998937478695848,0.8859382138340787,0.8017204835455115,0.7273736199946453,0.43683344191754203,0.9120248217390958
m4_weekly/W/short,m4_weekly,W,52,293,0.9950566808743604,0.9859387592150558,0.9659899037643774,0.9994892786276204,1.062844584266845,0.7349949536183924,0.695990871408077,0.4429480226530942,0.9082181988772248
m_dense/D/short,m_dense,D,7,90,0.9913320678226332,0.9897710292819952,0.982769601255541,0.995388773527048,0.4555096149589376,0.603326791806359,0.5987327596234973,0.4536207954155581,0.7208473650935487
m_dense/H/short,m_dense,H,24,600,0.9740385670168896,0.9658634163454262,0.9360213412755112,0.9844340505801098,0.5716622577138757,0.5971882422060206,0.5975812905372063,0.4567970378438992,0.7199767890553647
restaurant/D/short,restaurant,D,7,807,0.8664315612327873,0.8504781130613187,0.745881422520347,0.9263377660309198,0.7059140462597538,0.21225872427457498,0.23691199261993467,-0.05125584520452478,0.5945240798299908
saugeen/D/short,saugeen,D,7,20,0.8886943698700766,0.8871172431253846,0.8822986567628938,0.8914735237217806,0.9222746928031704,0.6797605990745651,0.6841131115278314,0.6732463351961124,0.6970824435923464
saugeen/M/short,saugeen,M,12,7,0.8441138084910829,0.8439768338903091,0.8414941486375057,0.8461942433424526,0.7116431580891348,0.1054023753447832,0.10937162920867613,0.10362828880306645,0.11843137144438941
saugeen/W/short,saugeen,W,52,20,0.5962988475784384,0.5964971319978243,0.5938857105813868,0.5996198469102859,0.7105695687400453,0.19720748902850943,0.1633608888181133,0.01633541873617495,0.24038603354628466
solar/10T/short,solar,10T,6,2740,0.9608472947353576,0.9602825624895812,0.9519146637814392,0.9652833843816456,0.8802365286672265,0.4528284891959572,0.4779564256722641,0.3744541616422552,0.5652232454780709
solar/D/short,solar,D,7,274,0.9342955523752348,0.9346173923761256,0.9223248310138058,0.9464884216774324,0.8792690750897301,0.5476126063145461,0.5338097890818901,0.3814028539276475,0.6418307629225793
solar/H/short,solar,H,24,2603,0.9675288056612442,0.9668246895748266,0.9641179216378792,0.9708847226131808,0.9748194840393974,0.4139879106702474,0.4147993536484793,0.34632404688481777,0.47417586022220864
sz_taxi/15T/short,sz_taxi,15T,4,1092,0.8727920049718856,0.8421311433526197,0.6594414964734393,0.978430172440968,0.7449195513492978,0.8419676203050246,0.7964541454746441,0.6441739944275595,0.9008438181176972
sz_taxi/H/short,sz_taxi,H,24,312,0.946247313033167,0.9016099807538682,0.7617383827524475,0.9893751887396388,0.8920565845315088,0.8197930094369201,0.7618655081046734,0.5936274413192913,0.8729137519330764
temperature_rain/D/short,temperature_rain,D,7,96216,0.5898110337130079,0.6260604931842738,0.4365755558639533,0.8930705564259538,0.7409433258380348,0.20939870535092747,0.25655718492420354,-0.004789415017514375,0.6349640504497474
us_births/D/short,us_births,D,7,20,0.9989276621161496,0.998938306264622,0.99890618792247,0.9989787775324604,0.2297259742342969,0.9574947003553975,0.9579947735359131,0.9558788151511037,0.9618922753448659
us_births/M/short,us_births,M,12,2,0.9997179809569166,0.9997179809569166,0.9997165914827176,0.9997193704311156,0.971507963478354,0.8252434666112407,0.8252434666112407,0.8219447653693426,0.8285421678531389
us_births/W/short,us_births,W,52,14,0.9995369434941552,0.9995365942638658,0.9994961677640182,0.9995718332450566,1.0346397968431558,0.814334437937654,0.8147226295614522,0.8090709155514595,0.8244607083534237
